Category	MsgDescription	MsgCode
AdminChange	ClearConfiguration	ADM31220
AdminChange	UpdatedSelectedAuthConfig	ADM31223
AdminChange	SetShowCredentialsOnScreen	ADM31225
AdminChange	SetSendSmsAllowed	ADM31226
AdminChange	SetSendEmailAllowed	ADM31227
AdminChange	SetSelfRegGuestUserLengthEnabled	ADM31228
AdminChange	SetSelfRegGuestUserLength	ADM31229
AdminChange	ExpiryDurationChanged	ADM31234
AdminChange	showDeviceCertEnabled	ADM31235
AdminChange	showDeviceCertDisabled	ADM31236
AdminChange	showTrustedClientCAEnabled	ADM31237
AdminChange	showTrustedClientCADisabled	ADM31238
AdminChange	showTrustedServerCAEnabled	ADM31239
AdminChange	showTrustedServerCADisabled	ADM31240
AdminChange	showCodeSigningCertEnabled	ADM31241
AdminChange	showCodeSigningCertDisabled	ADM31242
AdminChange	showClientAuthCertEnabled	ADM31243
AdminChange	showClientAuthCertDisabled	ADM31244
AdminChange	ACLSChanged	ADM31246
AdminChange	OutboundSettingsChanged	ADM31248
AdminChange	RebootInitiated	ADM31253
AdminChange	RestartServicesInitiated	ADM31254
AdminChange	SAMIdleTimerOptionChanged	ADM31255
AdminChange	PWSDeviceRoleMissing	ADM31270
AdminChange	NDcPPModeOptionChanged	ADM31273
AdminChange	ConsoleLoginSuccessful	ADM31274
AdminChange	ConsoleLoginFailed	ADM31275
AdminChange	ConsoleSessionTerminated	ADM31276
AdminChange	PSAVersionNotSupported	ADM31284
AdminChange	DHE2048Enabled	ADM31287
AdminChange	DHE2048Disabled	ADM31288
AdminChange	CreateHTML5Profile	ADM31305
AdminChange	UpdateHTML5Profile	ADM31306
AdminChange	EnableHTML5AclPolicy	ADM31307
AdminChange	DisableHTML5AclPolicy	ADM31308
AdminChange	CreateHTML5RDPBookmark	ADM31310
AdminChange	UpdateHTML5RDPBookmark	ADM31311
AdminChange	CreateHTML5TelnetsshBookmark	ADM31312
AdminChange	UpdateHTML5TelnetsshBookmark	ADM31313
AdminChange	ChangedAdminUIStyle	ADM31314
AdminChange	FailedToChangeAdminUIStyle	ADM31315
AdminChange	InvalidPackage	ADM31317
AdminChange	ReconnectonWakeupChanged	ADM31332
AdminChange	TouchIdSupportedChanged	ADM31333
AdminChange	HCEnhancedProtectionOptionChanged	ADM31334
AdminChange	SecurityOutboundCustomCipherChanged	ADM31346
AdminChange	SecurityOutboundChangedToCustomCipher	ADM31347
AdminChange	SecurityOutboundChangedAllowedEncryptStrength	ADM31348
AdminChange	SecurityOutboundChangedFromCustomCipher	ADM31349
AdminChange	XMLImportSucceedWithWarning	ADM31351
AdminChange	SecurityChangedAllowedEncryptStrengthNew	ADM31352
AdminChange	SecurityChangedFromCustomCipherNew	ADM31353
AdminChange	SecurityChangedToCustomCipherNew	ADM31354
AdminChange	unauthenticatedPostBufferChange	ADM31365
AdminChange	unauthenticatedPostTimeoutChange	ADM31366
AdminChange	AddCRLDistributionPoint	ADM31374
AdminChange	RadiusCreateAddrFamily	ADM31381
AdminChange	RadiusChangedAddrFamily	ADM31382
AdminChange	ESAPActiveSDKVersionChanged	ADM31384
AdminChange	ChangedName	ADM31392
AdminChange	ChangedTimeSkew	ADM31393
AdminChange	ChangedNoOfAttempts	ADM31394
AdminChange	ChangedCustomMsg	ADM31395
AdminChange	ChangedAllowAutoUnlock	ADM31396
AdminChange	ChangedAutoUnlockPeriod	ADM31397
AdminChange	ChangedInterface	ADM31398
AdminChange	UnlockedUserAccount	ADM31403
AdminChange	ResetUserAccount	ADM31404
AdminChange	SNMPPollIntervalChange	ADM31405
AdminChange	ChangeSyslogFT	ADM31410
AdminChange	CreateTermBookmark6	ADM31425
AdminChange	UpdateTermBookmark6	ADM31426
AdminChange	InitializingUpgrade	ADM31438
AdminChange	WmiUserAdded	ADM31444
AdminChange	WmiUserModified	ADM31445
AdminChange	WmiUserDeleted	ADM31446
ProfilerEvent	GetApiKeys	ADM31458
AdminChange	CACertsImportFail	ADM31469
AdminChange	IKEPhase1Changed	ADM31472
AdminChange	ChangedClusterNetworkType	ADM31474
AdminChange	ChangedClusterTimeoutMultiplier	ADM31475
AdminChange	AttackLogModeChanged	ADM31488
AdminChange	UpdatedNetworkInterface	ADM31502
AdminChange	JITCModeOptionChanged	ADM31503
AdminChange	DisabledICMPV6Echo	ADM31505
AdminChange	EnabledICMPV6Echo	ADM31506
AdminChange	DisabledICMPV6DestUnreach	ADM31507
AdminChange	EnabledICMPV6DestUnreach	ADM31508
AdminChange	DSCPSettings	ADM31509
AdminChange	RadiusCreateSubSessionInterimUpdate	ADM31521
